atm_id,atm_id,atm_number,atm_manufacturer,atm_location_id
1,1,1,NCR,74
2,2,2,NCR,103
3,3,3,NCR,48
4,4,4,NCR,96
5,5,5,NCR,69
6,6,6,NCR,25
7,7,7,Diebold Nixdorf,38
8,8,7,Diebold Nixdorf,51
9,9,8,NCR,30
10,10,9,Diebold Nixdorf,31
11,11,10,NCR,76
12,12,11,NCR,80
13,13,12,NCR,58
14,14,12,NCR,108
15,15,12,NCR,109
16,16,13,NCR,97
17,17,14,NCR,46
18,18,15,NCR,104
19,19,16,NCR,87
20,20,16,NCR,56
21,21,16,NCR,86
22,22,17,NCR,78
23,23,18,Diebold Nixdorf,105
24,24,19,NCR,62
25,25,20,NCR,14
26,26,21,NCR,58
27,27,21,NCR,108
28,28,21,NCR,109
29,29,22,NCR,55
30,30,22,NCR,79
31,31,23,Diebold Nixdorf,107
32,32,24,NCR,40
33,33,25,Diebold Nixdorf,54
34,34,25,Diebold Nixdorf,77
35,35,26,NCR,59
36,36,26,NCR,41
37,37,27,NCR,34
38,38,28,NCR,66
39,39,29,NCR,84
40,40,30,NCR,72
41,41,30,NCR,73
42,42,31,NCR,88
43,43,31,NCR,89
44,44,32,NCR,99
45,45,33,NCR,102
46,46,34,NCR,85
47,47,35,NCR,1
48,48,36,NCR,39
49,49,36,NCR,52
50,50,37,NCR,81
51,51,38,NCR,32
52,52,39,NCR,95
53,53,40,Diebold Nixdorf,27
54,54,40,Diebold Nixdorf,50
55,55,41,Diebold Nixdorf,60
56,56,41,Diebold Nixdorf,82
57,57,42,NCR,106
58,58,43,NCR,10
59,59,44,NCR,65
60,60,45,NCR,11
61,61,46,Diebold Nixdorf,33
62,62,47,NCR,26
63,63,48,Diebold Nixdorf,18
64,64,48,Diebold Nixdorf,49
65,65,49,NCR,13
66,66,50,NCR,8
67,67,51,NCR,29
68,68,52,NCR,24
69,69,53,NCR,98
70,70,54,NCR,22
71,71,55,NCR,12
72,72,56,Diebold Nixdorf,64
73,73,57,NCR,35
74,74,58,NCR,93
75,75,59,Diebold Nixdorf,72
76,76,59,Diebold Nixdorf,73
77,77,60,NCR,37
78,78,61,NCR,23
79,79,62,Diebold Nixdorf,101
80,80,63,NCR,16
81,81,64,NCR,43
82,82,65,NCR,92
83,83,66,NCR,15
84,84,67,NCR,45
85,85,68,NCR,57
86,86,68,NCR,21
87,87,69,NCR,100
88,88,70,Diebold Nixdorf,42
89,89,71,NCR,6
90,90,72,NCR,20
91,91,73,NCR,44
92,92,74,NCR,61
93,93,75,NCR,70
94,94,76,NCR,19
95,95,77,NCR,9
96,96,78,Diebold Nixdorf,71
97,97,79,NCR,68
98,98,80,NCR,67
99,99,81,NCR,90
100,100,82,NCR,83
101,101,83,NCR,28
102,102,84,NCR,94
103,103,85,Diebold Nixdorf,63
104,104,86,NCR,36
105,105,87,NCR,91
106,106,87,NCR,4
107,107,87,NCR,3
108,108,88,NCR,3
109,109,88,NCR,4
110,110,88,NCR,91
111,111,89,NCR,27
112,112,89,NCR,50
113,113,90,NCR,41
114,114,90,NCR,59
115,115,91,NCR,87
116,116,91,NCR,86
117,117,91,NCR,56
118,118,92,NCR,39
119,119,92,NCR,52
120,120,93,NCR,18
121,121,93,NCR,49
122,122,94,NCR,60
123,123,94,NCR,82
124,124,95,NCR,53
125,125,96,NCR,2
126,126,97,NCR,38
127,127,97,NCR,51
128,128,98,NCR,54
129,129,98,NCR,77
130,130,99,NCR,21
131,131,99,NCR,57
132,132,100,NCR,56
133,133,100,NCR,86
134,134,100,NCR,87
135,135,101,NCR,17
136,136,102,NCR,3
137,137,102,NCR,4
138,138,102,NCR,91
139,139,103,Diebold Nixdorf,103
140,140,104,NCR,58
141,141,104,NCR,108
142,142,104,NCR,109
143,143,105,Diebold Nixdorf,76
144,144,106,NCR,79
145,145,106,NCR,55
146,146,107,Diebold Nixdorf,62
147,147,108,NCR,47
148,148,109,Diebold Nixdorf,5
149,149,110,Diebold Nixdorf,41
150,150,110,Diebold Nixdorf,59
151,151,111,Diebold Nixdorf,7
152,152,112,Diebold Nixdorf,75
153,153,113,Diebold Nixdorf,88
154,154,113,Diebold Nixdorf,89
